2024-07-26 13:16:22,167: i
2024-07-26 13:16:22,168: o
2024-07-26 13:16:22,743: Key.backspace
2024-07-26 13:16:22,903: Key.backspace
2024-07-26 13:16:23,127: f
2024-07-26 13:16:23,209: a
2024-07-26 13:16:23,358: c
2024-07-26 13:16:23,462: e
2024-07-26 13:16:23,894: Key.enter
2024-07-26 13:16:27,041: Key.backspace
2024-07-26 13:16:27,281: f
2024-07-26 13:16:27,368: a
2024-07-26 13:16:27,649: c
2024-07-26 13:16:27,799: e
2024-07-26 13:16:29,642: Key.backspace
2024-07-26 13:16:29,801: Key.backspace
2024-07-26 13:16:29,920: Key.backspace
2024-07-26 13:16:32,167: n
2024-07-26 13:16:32,360: d
2024-07-26 13:16:32,382: a
2024-07-26 13:16:32,383: b
2024-07-26 13:16:32,447: s
2024-07-26 13:16:32,623: n
2024-07-26 13:16:32,727: d
2024-07-26 13:16:32,839: j
2024-07-26 13:16:32,961: s
2024-07-26 13:16:33,025: a
2024-07-26 13:16:33,336: m
2024-07-26 13:16:33,382: d
2024-07-26 13:16:33,702: e
2024-07-26 13:16:33,809: m
2024-07-26 13:16:33,943: e
2024-07-26 13:16:34,111: i
2024-07-26 13:16:34,271: e
2024-07-26 13:16:34,335: i
2024-07-26 13:16:34,591: n
2024-07-26 13:16:34,711: f
2024-07-26 13:16:34,815: n
2024-07-26 13:16:34,998: e
2024-07-26 13:16:35,137: p
2024-07-26 13:16:36,503: a
2024-07-26 13:16:36,615: s
2024-07-26 13:16:36,679: d
2024-07-26 13:16:36,806: a
2024-07-26 13:16:37,183: s
2024-07-26 13:16:37,200: d
2024-07-26 13:16:37,374: a
2024-07-26 13:16:37,481: s
2024-07-26 13:16:37,567: d
2024-07-26 13:16:37,743: a
2024-07-26 13:16:37,831: s
2024-07-26 13:16:38,088: c
2024-07-26 13:16:38,240: x
2024-07-26 13:16:38,432: c
2024-07-26 13:16:38,519: x
2024-07-26 13:16:38,871: a
2024-07-26 13:16:39,096: s
2024-07-26 13:16:39,207: d
2024-07-26 13:16:39,399: q
2024-07-26 13:16:39,702: 2
2024-07-26 13:16:39,879: 2
2024-07-26 13:16:45,969: Key.ctrl_l
2024-07-26 13:16:46,295: 
2024-07-26 13:17:00,718: Key.shift_r
2024-07-26 13:17:00,782: Key.delete
2024-07-26 13:17:01,832: Key.enter
2024-07-26 13:17:31,744: ç
2024-07-26 13:17:32,174: ç
2024-07-26 13:17:32,430: ç
2024-07-26 13:17:32,630: ç
2024-07-26 13:17:32,806: ç
2024-07-26 13:17:32,983: ç
2024-07-26 13:17:41,278: h
2024-07-26 13:17:41,278: j
2024-07-26 13:17:41,296: b
2024-07-26 13:17:41,382: h
2024-07-26 13:17:41,406: i
2024-07-26 13:17:41,509: b
2024-07-26 13:17:41,550: y
2024-07-26 13:17:41,573: h
2024-07-26 13:17:41,574: u
2024-07-26 13:17:41,655: y
2024-07-26 13:17:41,655: u
2024-07-26 13:17:41,721: g
2024-07-26 13:17:41,742: v
2024-07-26 13:17:41,862: g
2024-07-26 13:17:42,302: n
2024-07-26 13:17:42,592: k
